epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9018,1.74332,4.31172,1.17885,0.02189,0.59192,0.09164,0.05374,1.04125,4.31125,0.87839,0.000190842,0.000190842,0.000190842
2,136.041,1.42165,3.25957,0.98812,0.02768,0.93057,0.31935,0.20352,1.10493,3.6171,0.89784,0.000379183,0.000379183,0.000379183
3,202.968,1.39017,2.27226,0.9841,0.57612,0.24756,0.52763,0.35487,1.05291,2.70596,0.90507,0.000559762,0.000559762,0.000559762
4,269.16,1.31054,1.7278,0.97572,0.616,0.61998,0.64893,0.4773,0.96421,1.48352,0.91653,0.000553073,0.000553073,0.000553073
5,335.342,1.23134,1.42093,0.96545,0.57926,0.72326,0.67763,0.47202,1.10177,1.41494,0.95274,0.00054143,0.00054143,0.00054143
6,401.009,1.20339,1.23103,0.96368,0.69689,0.85822,0.83633,0.60436,0.97612,1.06914,0.91166,0.000529788,0.000529788,0.000529788
7,467.093,1.18592,1.12546,0.96357,0.80144,0.83238,0.87677,0.63211,1.0391,0.94558,0.92229,0.000518146,0.000518146,0.000518146
8,532.694,1.12697,1.04621,0.94094,0.8173,0.8893,0.9325,0.70871,0.89418,0.85176,0.90307,0.000506503,0.000506503,0.000506503
9,598.951,1.12664,0.97777,0.94622,0.89068,0.91193,0.94064,0.72165,0.87687,0.84205,0.89945,0.000494861,0.000494861,0.000494861
10,665.292,1.09129,0.93309,0.93647,0.93977,0.94889,0.97294,0.73938,0.90291,0.76646,0.901,0.000483218,0.000483218,0.000483218
11,731.461,1.10795,0.9091,0.93062,0.92402,0.93669,0.96799,0.72179,0.96134,0.76962,0.91202,0.000471576,0.000471576,0.000471576
12,796.695,1.09729,0.87186,0.9351,0.97316,0.92031,0.97905,0.7586,0.8531,0.72035,0.88921,0.000459934,0.000459934,0.000459934
13,862.669,1.0626,0.8275,0.93021,0.93972,0.92852,0.97062,0.7548,0.85774,0.71,0.88872,0.000448291,0.000448291,0.000448291
14,928.924,1.04821,0.80823,0.93123,0.95967,0.94089,0.97126,0.75349,0.88337,0.65765,0.89829,0.000436649,0.000436649,0.000436649
15,994.961,1.0553,0.78798,0.92414,0.96624,0.9744,0.97957,0.71343,0.99939,0.68467,0.90972,0.000425006,0.000425006,0.000425006
16,1061.8,1.03354,0.76097,0.92829,0.95353,0.97902,0.98116,0.75622,0.87482,0.6467,0.89233,0.000413364,0.000413364,0.000413364
17,1130.07,1.00292,0.74237,0.91202,0.9657,0.98598,0.98463,0.77121,0.84638,0.60216,0.88468,0.000401722,0.000401722,0.000401722
18,1195.84,1.02649,0.72702,0.92853,0.97203,0.9682,0.98061,0.77096,0.82527,0.60341,0.88547,0.000390079,0.000390079,0.000390079
19,1261.11,1.00779,0.72345,0.91559,0.97055,0.96078,0.98116,0.77536,0.82237,0.60052,0.88177,0.000378437,0.000378437,0.000378437
20,1327.37,0.98308,0.69497,0.91356,0.96954,0.97689,0.98431,0.76621,0.8247,0.62473,0.87976,0.000366794,0.000366794,0.000366794
21,1393.41,0.99029,0.69599,0.91,0.97805,0.97197,0.98276,0.78381,0.8098,0.5859,0.87998,0.000355152,0.000355152,0.000355152
22,1458.51,1.00308,0.68689,0.92326,0.9731,0.97319,0.98512,0.77985,0.81741,0.59907,0.88059,0.00034351,0.00034351,0.00034351
23,1524.41,0.97907,0.67084,0.91212,0.96868,0.96002,0.98648,0.77053,0.83136,0.59877,0.88058,0.000331867,0.000331867,0.000331867
24,1590.17,0.96715,0.66376,0.91459,0.97697,0.97283,0.9849,0.77525,0.81161,0.57478,0.88071,0.000320225,0.000320225,0.000320225
25,1656.15,0.96365,0.66141,0.9055,0.95953,0.98136,0.98462,0.76221,0.84968,0.57338,0.88384,0.000308582,0.000308582,0.000308582
26,1722.1,0.98421,0.66928,0.91792,0.95922,0.9822,0.98504,0.78152,0.80325,0.56745,0.87723,0.00029694,0.00029694,0.00029694
27,1788.57,0.96378,0.64471,0.90495,0.96208,0.98088,0.9834,0.74581,0.90837,0.57531,0.89282,0.000285298,0.000285298,0.000285298
28,1854.96,0.99375,0.64935,0.91205,0.9693,0.98547,0.98578,0.76861,0.84217,0.56984,0.8868,0.000273655,0.000273655,0.000273655
