               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072847,            0.031006,            0.067448,            0.096621,             0.49391,              0.2181,            0.099646,            0.025753,            0.010069,            0.044068,            0.070059,           0.0033268,           0.0033268
                   0,            0.072027,            0.030326,            0.067689,               0.109,             0.42097,             0.23628,             0.10878,            0.026933,            0.010104,            0.044656,            0.070059,           0.0033268,           0.0033268
                   1,            0.047482,            0.020468,            0.060087,             0.39875,             0.52075,             0.41643,             0.21419,             0.02988,           0.0083244,            0.039133,            0.039949,           0.0065502,           0.0065502
                   2,            0.044393,            0.018473,            0.051702,             0.31333,             0.77734,             0.61563,             0.36632,            0.020943,           0.0076253,            0.029094,           0.0097293,           0.0096637,           0.0096637
                   3,             0.04028,            0.017177,            0.040199,             0.47825,             0.83767,             0.69096,             0.45798,            0.017037,           0.0075516,            0.020599,            0.009505,            0.009505,            0.009505
                   4,            0.036807,            0.016123,            0.032259,             0.57179,             0.84893,             0.78067,             0.53181,            0.015203,           0.0068953,            0.016412,            0.009505,            0.009505,            0.009505
                   5,            0.033556,            0.016041,            0.028186,             0.69461,             0.87561,             0.84325,             0.62805,            0.013941,           0.0067305,            0.013248,             0.00934,             0.00934,             0.00934
                   6,            0.032316,             0.01563,            0.023829,             0.81015,             0.88358,             0.91064,             0.61714,            0.015419,           0.0070159,           0.0097085,            0.009175,            0.009175,            0.009175
                   7,            0.031111,            0.015648,            0.019522,             0.96581,             0.93457,             0.98432,             0.76561,            0.013353,           0.0068887,           0.0059158,             0.00901,             0.00901,             0.00901
                   8,            0.030255,            0.015088,            0.016026,              0.9803,             0.99291,             0.99148,             0.75713,            0.012799,           0.0067416,           0.0034496,            0.008845,            0.008845,            0.008845
                   9,            0.028855,            0.014642,            0.013713,             0.98677,             0.97672,             0.99286,             0.78149,            0.012225,             0.00664,            0.002678,             0.00868,             0.00868,             0.00868
                  10,            0.027838,             0.01421,            0.012766,             0.99105,             0.99349,             0.99331,             0.78788,            0.012686,           0.0067181,           0.0023275,            0.008515,            0.008515,            0.008515
                  11,            0.027226,            0.014419,            0.012464,             0.99229,             0.99363,             0.99384,             0.83411,            0.010003,           0.0064968,           0.0022648,             0.00835,             0.00835,             0.00835
                  12,            0.026602,             0.01395,            0.011058,             0.99443,             0.99468,             0.99341,             0.81963,            0.010451,           0.0063298,           0.0021126,            0.008185,            0.008185,            0.008185
                  13,            0.026027,            0.013081,            0.010737,             0.99232,             0.99606,             0.99341,             0.82459,           0.0099975,           0.0063173,           0.0020023,             0.00802,             0.00802,             0.00802
                  14,            0.025224,            0.012969,            0.010543,             0.99247,             0.99029,             0.99373,             0.84637,           0.0088279,           0.0058883,           0.0019375,            0.007855,            0.007855,            0.007855
                  15,            0.024535,             0.01347,           0.0095852,             0.99328,               0.994,             0.99333,             0.83934,           0.0088754,           0.0058052,           0.0017226,             0.00769,             0.00769,             0.00769
                  16,            0.024183,            0.013909,           0.0094148,             0.99516,             0.99797,             0.99315,             0.84179,           0.0088633,           0.0063818,           0.0016691,            0.007525,            0.007525,            0.007525
                  17,            0.023647,            0.013293,           0.0083772,             0.99265,             0.99728,             0.99385,             0.85057,           0.0083979,           0.0063494,           0.0015752,             0.00736,             0.00736,             0.00736
                  18,            0.023023,            0.012932,           0.0086924,             0.99612,             0.99687,              0.9937,             0.86397,           0.0075925,           0.0065854,           0.0014153,            0.007195,            0.007195,            0.007195
                  19,            0.022765,            0.013106,            0.008906,             0.99339,             0.99685,             0.99326,             0.86732,           0.0082418,           0.0064143,           0.0014319,             0.00703,             0.00703,             0.00703
                  20,            0.022545,            0.012839,           0.0080307,             0.99265,             0.99222,             0.99321,             0.84488,           0.0085889,           0.0061735,           0.0014118,            0.006865,            0.006865,            0.006865
                  21,            0.021386,            0.012544,           0.0080984,             0.99287,             0.99322,             0.99318,             0.87382,           0.0078016,           0.0062791,             0.00134,              0.0067,              0.0067,              0.0067
                  22,            0.021855,            0.012851,           0.0085571,             0.99342,             0.99554,             0.99365,             0.86993,           0.0074464,           0.0063093,           0.0012875,            0.006535,            0.006535,            0.006535
                  23,            0.021642,            0.012697,           0.0078316,             0.99283,             0.99606,             0.99384,             0.87171,           0.0075422,           0.0062882,           0.0013108,             0.00637,             0.00637,             0.00637
                  24,            0.020845,            0.011947,           0.0071796,             0.99173,             0.99306,             0.99312,             0.85508,           0.0076403,           0.0059756,           0.0013955,            0.006205,            0.006205,            0.006205
