epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.863,1.47935,3.12668,1.1876,0.51376,0.69497,0.69296,0.5164,0.93811,1.55157,0.77162,0.000195225,0.000195225,0.000195225
2,551.721,1.17234,1.58224,1.04031,0.82901,0.89353,0.94098,0.74169,0.60797,0.94347,0.66334,0.00038477,0.00038477,0.00038477
3,823.242,1.02815,1.23302,0.98674,0.88893,0.9224,0.97307,0.78467,0.50581,0.79473,0.62132,0.000567847,0.000567847,0.000567847
4,1095.1,0.97221,1.03733,0.98328,0.93939,0.96883,0.98292,0.77708,0.51526,0.65464,0.6341,0.000558894,0.000558894,0.000558894
5,1364.69,0.92584,0.95884,0.96458,0.96249,0.9646,0.98726,0.7576,0.5528,0.64178,0.63993,0.000549192,0.000549192,0.000549192
6,1637.04,0.91679,0.87438,0.95917,0.95636,0.97343,0.99171,0.82768,0.47262,0.54071,0.61529,0.00053949,0.00053949,0.00053949
7,1907.39,0.88056,0.81039,0.95444,0.97342,0.97622,0.99125,0.84134,0.40348,0.46129,0.60203,0.000529788,0.000529788,0.000529788
8,2179.33,0.86531,0.75709,0.94123,0.98804,0.98308,0.99001,0.81106,0.47048,0.47604,0.62066,0.000520086,0.000520086,0.000520086
9,2449.35,0.86696,0.73348,0.94556,0.98053,0.98723,0.99107,0.8362,0.44758,0.40947,0.61664,0.000510384,0.000510384,0.000510384
10,2719.31,0.81943,0.68027,0.9391,0.96046,0.98619,0.99122,0.82673,0.4424,0.39964,0.5997,0.000500682,0.000500682,0.000500682
11,2990.58,0.81714,0.68373,0.93672,0.98487,0.98874,0.99312,0.83941,0.4098,0.37319,0.60671,0.00049098,0.00049098,0.00049098
12,3261.82,0.80851,0.65596,0.94246,0.98488,0.98874,0.99292,0.848,0.393,0.33084,0.5938,0.000481278,0.000481278,0.000481278
13,3533.56,0.78781,0.62981,0.92831,0.9813,0.98814,0.99395,0.84615,0.35501,0.35434,0.59246,0.000471576,0.000471576,0.000471576
14,3805.6,0.77352,0.61627,0.92487,0.9774,0.96342,0.99036,0.86312,0.37205,0.29598,0.59485,0.000461874,0.000461874,0.000461874
15,4076.5,0.77354,0.595,0.91992,0.98687,0.98089,0.99294,0.85919,0.37541,0.31601,0.59498,0.000452172,0.000452172,0.000452172
16,4347.48,0.74382,0.58101,0.9172,0.9879,0.97642,0.99188,0.85307,0.3867,0.29096,0.5963,0.00044247,0.00044247,0.00044247
17,4619.48,0.73793,0.56942,0.91322,0.98746,0.985,0.9932,0.86431,0.37781,0.29791,0.59019,0.000432768,0.000432768,0.000432768
18,4890.27,0.74091,0.54423,0.91475,0.98461,0.98932,0.99299,0.84398,0.42858,0.29157,0.59875,0.000423066,0.000423066,0.000423066
19,5160.53,0.74163,0.54172,0.91104,0.98966,0.98704,0.99366,0.84953,0.37993,0.26807,0.59134,0.000413364,0.000413364,0.000413364
